hgnc_symbol,gene_ensemble,chr,gene_start,gene_end
PPP1R15A,ENSG00000087074,19,48872212,48876059
MMP2,ENSG00000087245,16,55389700,55506691
LPCAT2,ENSG00000087253,16,55509072,55586666
SH3BP2,ENSG00000087266,4,2793071,2841098
CASS4,ENSG00000087589,20,56412112,56460387
SLC8B1,ENSG00000089060,12,113298759,113359493
OAS1,ENSG00000089127,12,112905856,112933219
FXYD5,ENSG00000089327,19,35154730,35169881
GMIP,ENSG00000089639,19,19629476,19643657
RGS1,ENSG00000090104,1,192575763,192580024
ICAM1,ENSG00000090339,19,10271093,10286615
IRAK3,ENSG00000090376,12,66189195,66254622
LYZ,ENSG00000090382,12,69348381,69354234
P3H2,ENSG00000090530,3,189956728,190122437
DTX2,ENSG00000091073,7,76461676,76505995
NLRC4,ENSG00000091106,2,32224453,32265732
ABCC6,ENSG00000091262,16,16149565,16223522
ESR1,ENSG00000091831,6,151656691,152129619
CEBPE,ENSG00000092067,14,23117036,23120256
RPGRIP1,ENSG00000092200,14,21280083,21351301
UNC13D,ENSG00000092929,17,75827225,75844785
ADA2,ENSG00000093072,22,17178790,17258235
PTGS1,ENSG00000095303,9,122370530,122395703
BLNK,ENSG00000095585,10,96189171,96271587
TREM2,ENSG00000095970,6,41158506,41163186
CRISP3,ENSG00000096006,6,49727376,49744437
IL12RB1,ENSG00000096996,19,18058995,18098944
MYO9B,ENSG00000099331,19,17075777,17214537
KCNK6,ENSG00000099337,19,38319845,38332076
DERL3,ENSG00000099958,22,23834503,23839128
OSM,ENSG00000099985,22,30262829,30266851
CYTH4,ENSG00000100055,22,37282027,37315341
MFNG,ENSG00000100060,22,37469063,37486393
BIK,ENSG00000100290,22,43110750,43129712
HMOX1,ENSG00000100292,22,35380361,35394214
MCM5,ENSG00000100297,22,35400134,35425431
PDGFB,ENSG00000100311,22,39223359,39244982
NCF4,ENSG00000100365,22,36860988,36878017
CSF2RB,ENSG00000100368,22,36913628,36940439
UPK3A,ENSG00000100373,22,45284949,45295874
PYGL,ENSG00000100504,14,50857891,50944483
RIN3,ENSG00000100599,14,92513781,92688994
SUSD6,ENSG00000100647,14,69611596,69715144
MMP9,ENSG00000100985,20,46008908,46016561
PROCR,ENSG00000101000,20,35172072,35216240
CD40,ENSG00000101017,20,46118271,46129863
NFATC2,ENSG00000101096,20,51386957,51562831
PABPC1L,ENSG00000101104,20,44910060,44959035
CTSZ,ENSG00000101160,20,58985686,59008238
SLC17A9,ENSG00000101194,20,62952707,62969585
HCK,ENSG00000101336,20,32052197,32101856
LIPG,ENSG00000101670,18,49560699,49599185
RUBCNL,ENSG00000102445,13,46334681,46438190
ACP5,ENSG00000102575,19,11574653,11579993
PARP4,ENSG00000102699,13,24420931,24512778
MSLN,ENSG00000102854,16,760734,768865
CORO1A,ENSG00000102879,16,30182827,30189076
GDPD3,ENSG00000102886,16,30104810,30113537
ELMO3,ENSG00000102890,16,67199111,67204029
CCL22,ENSG00000102962,16,57358783,57366189
COTL1,ENSG00000103187,16,84565596,84618078
MEFV,ENSG00000103313,16,3242027,3256633
PIEZO1,ENSG00000103335,16,88715338,88785220
PYCARD,ENSG00000103490,16,31201486,31203450
IL21R,ENSG00000103522,16,27402174,27452042
CSK,ENSG00000103653,15,74782080,74803197
CTSH,ENSG00000103811,15,78921058,78949574
ATP8B4,ENSG00000104043,15,49858238,50182817
BMF,ENSG00000104081,15,40087890,40108892
IKBKB,ENSG00000104365,8,42271302,42332460
GSDMD,ENSG00000104518,8,143553207,143563062
TNFRSF10A,ENSG00000104689,8,23190452,23225102
FGL1,ENSG00000104760,8,17864380,17910365
MAN2B1,ENSG00000104774,19,12646511,12666742
KCNN4,ENSG00000104783,19,43766533,43780976
MAP4K1,ENSG00000104814,19,38587641,38618882
FCGRT,ENSG00000104870,19,49506816,49526428
CD37,ENSG00000104894,19,49335171,49343335
LYL1,ENSG00000104903,19,13099033,13103161
IL4I1,ENSG00000104951,19,49889654,49929539
LILRB1,ENSG00000104972,19,54617158,54638022
LILRA1,ENSG00000104974,19,54593582,54602381
RASAL3,ENSG00000105122,19,15451624,15464544
EPHX3,ENSG00000105131,19,15226919,15233435
EBI3,ENSG00000105246,19,4229523,4237528
SLC1A5,ENSG00000105281,19,46774883,46788594
TGFB1,ENSG00000105329,19,41301587,41353922
DENND3,ENSG00000105339,8,141117278,141195808
CEACAM4,ENSG00000105352,19,41619015,41627074
SIGLEC8,ENSG00000105366,19,51450847,51458456
CD33,ENSG00000105383,19,51225064,51243860
CARD8,ENSG00000105483,19,48180770,48255946
SIGLEC5,ENSG00000105501,19,51630101,51645545
LILRB5,ENSG00000105609,19,54249421,54257301
JAK3,ENSG00000105639,19,17824780,17848071
HAMP,ENSG00000105697,19,35280716,35285143
PIK3CG,ENSG00000105851,7,106865278,106908980
TFEC,ENSG00000105967,7,115935148,116159896
CPED1,ENSG00000106034,7,120988697,121297442
CPVL,ENSG00000106066,7,28995235,29195451
NOD1,ENSG00000106100,7,30424527,30478784
SERPINE1,ENSG00000106366,7,101127104,101139247
GIMAP2,ENSG00000106560,7,150685697,150693641
TMEM176B,ENSG00000106565,7,150791285,150801360
TGFBR1,ENSG00000106799,9,99104038,99154192
AKNA,ENSG00000106948,9,114334156,114394405
TNFSF8,ENSG00000106952,9,114893343,114930595
ENG,ENSG00000106991,9,127815013,127854658
DOCK8,ENSG00000107099,9,214854,465259
CXCL12,ENSG00000107562,10,44370165,44386493
PALD1,ENSG00000107719,10,70478767,70668754
VSIR,ENSG00000107738,10,71747556,71773520
MAP3K8,ENSG00000107968,10,30434021,30461833
P2RX1,ENSG00000108405,17,3896592,3916476
CHRNE,ENSG00000108556,17,4897771,4934438
SYNGR2,ENSG00000108639,17,78168581,78173527
CCL2,ENSG00000108691,17,34255274,34257208
CCL8,ENSG00000108700,17,34319435,34321402
ABI3,ENSG00000108798,17,49210411,49223225
SLC2A9,ENSG00000109667,4,9771153,10054936
FAM149A,ENSG00000109794,4,186104419,186175337
CTSC,ENSG00000109861,11,88265069,88359684
UNC93B1,ENSG00000110057,11,67991100,68004982
MS4A6A,ENSG00000110077,11,60172015,60184666
MS4A4A,ENSG00000110079,11,60185657,60318080
IL10RA,ENSG00000110324,11,117986370,118003037
SLC15A3,ENSG00000110446,11,60937060,60952653
C11orf21,ENSG00000110665,11,2295628,2303049
TCIRG1,ENSG00000110719,11,68039025,68050895
CD69,ENSG00000110848,12,9752486,9760901
CLEC2B,ENSG00000110852,12,9852369,9869386
SELPLG,ENSG00000110876,12,108621895,108633894
BIN2,ENSG00000110934,12,51281038,51324668
IL23A,ENSG00000110944,12,56334174,56340410
ELK3,ENSG00000111145,12,96194375,96269824
TRPV4,ENSG00000111199,12,109783087,109833406
SH2B3,ENSG00000111252,12,111405923,111451623
LTBR,ENSG00000111321,12,6375045,6391571
OAS2,ENSG00000111335,12,112978395,113011723
ARHGDIB,ENSG00000111348,12,14942031,14961728
ACRBP,ENSG00000111644,12,6638075,6647433
PTPN6,ENSG00000111679,12,6946468,6961316
GCNT2,ENSG00000111846,6,10492223,10629368
GABRR2,ENSG00000111886,6,89254464,89315299
TREML2,ENSG00000112195,6,41189749,41201149
VNN1,ENSG00000112299,6,132680849,132714055
VNN2,ENSG00000112303,6,132743870,132763459
TRIM38,ENSG00000112343,6,25962802,25991231
TENT5A,ENSG00000112773,6,81491439,81752774
LY86,ENSG00000112799,6,6588108,6654983
MEP1A,ENSG00000112818,6,46793389,46839778
HAVCR1,ENSG00000113249,5,157026742,157069396
SLC12A7,ENSG00000113504,5,1050384,1112063
ST8SIA4,ENSG00000113532,5,100806933,100903282
PCDH12,ENSG00000113555,5,141943581,141969741
C9,ENSG00000113600,5,39284140,39371324
CD86,ENSG00000114013,3,122055362,122121139
WNT5A,ENSG00000114251,3,55465715,55490539
MORC1,ENSG00000114487,3,108958248,109118134
CISH,ENSG00000114737,3,50606489,50611774
IL1A,ENSG00000115008,2,112773925,112784493
CCL20,ENSG00000115009,2,227805739,227817564
STEAP3,ENSG00000115107,2,119223831,119265652
CYTIP,ENSG00000115165,2,157414619,157488961
LOXL3,ENSG00000115318,2,74532258,74555690
DOK1,ENSG00000115325,2,74549026,74557551
GNLY,ENSG00000115523,2,85685175,85698852
IL1R2,ENSG00000115590,2,101991960,102028544
IL18RAP,ENSG00000115607,2,102418689,102452565
PRKD3,ENSG00000115825,2,37250502,37324833
KYNU,ENSG00000115919,2,142877657,143055833
PLEK,ENSG00000115956,2,68365282,68397453
ARID3A,ENSG00000116017,19,925781,975939
NCF2,ENSG00000116701,1,183554461,183590905
PLA2G4A,ENSG00000116711,1,186828949,186988981
OLFML3,ENSG00000116774,1,113979391,114035572
CD58,ENSG00000116815,1,116514534,116571039
MYCL,ENSG00000116990,1,39895428,39902256
GBP3,ENSG00000117226,1,89006679,89022894
RPS6KA1,ENSG00000117676,1,26529761,26575030
SLC5A9,ENSG00000117834,1,48222685,48248644
MMP8,ENSG00000118113,11,102711796,102727050
IRAG2,ENSG00000118308,12,25004342,25108335
TNFAIP3,ENSG00000118503,6,137867214,137883314
RAB32,ENSG00000118508,6,146543833,146554953
VAMP8,ENSG00000118640,2,85561562,85582031
TGIF2,ENSG00000118707,20,36573488,36593950
SPP1,ENSG00000118785,4,87975667,87983532
CSF3R,ENSG00000119535,1,36466043,36483278
PROX2,ENSG00000119608,14,74852871,74876154
LTBP2,ENSG00000119681,14,74498183,74612378
ESRRB,ENSG00000119715,14,76310712,76501837
HOXB3,ENSG00000120093,17,48548870,48604912
DUSP1,ENSG00000120129,5,172768096,172771195
MTHFD1L,ENSG00000120254,6,150865679,151101887
KCNJ5,ENSG00000120457,11,128891356,128921163
PLXDC2,ENSG00000120594,10,19816239,20289856
ELF1,ENSG00000120690,13,40931924,41061440
TGFBI,ENSG00000120708,5,136028988,136063818
TNFRSF10B,ENSG00000120889,8,23020133,23069031
TNFRSF8,ENSG00000120949,1,12063303,12144207
TRIM6,ENSG00000121236,11,5596109,5612958
ADCY7,ENSG00000121281,16,50246137,50318135
PLBD1,ENSG00000121316,12,14503661,14567883
CSTA,ENSG00000121552,3,122325248,122341969
CD80,ENSG00000121594,3,119524293,119559614
CCRL2,ENSG00000121797,3,46407166,46412997
CCR2,ENSG00000121807,3,46353864,46360940
TMEM156,ENSG00000121895,4,38966744,39032922
TMIGD3,ENSG00000121933,1,111483348,111563962
CXCR4,ENSG00000121966,2,136114349,136119177
PLAU,ENSG00000122861,10,73909177,73917496
SRGN,ENSG00000122862,10,69088103,69104805
BHLHE41,ENSG00000123095,12,26120030,26125037
ITPR2,ENSG00000123104,12,26335352,26833194
ARHGAP9,ENSG00000123329,12,57472264,57488814
NCKAP1L,ENSG00000123338,12,54497752,54548243
CDK2,ENSG00000123374,12,55966781,55972789
NMI,ENSG00000123609,2,151270470,151289894
BATF3,ENSG00000123685,1,212686417,212699840
RAB38,ENSG00000123892,11,88113251,88175443
ZBP1,ENSG00000124256,20,57603846,57620576
CEACAM8,ENSG00000124469,19,42580243,42595055
BTN2A2,ENSG00000124508,6,26383096,26394874
BTN2A3P,ENSG00000124549,6,26422119,26431615
TREM1,ENSG00000124731,6,41267926,41286682
CDKN1A,ENSG00000124762,6,36676460,36687337
RREB1,ENSG00000124782,6,7107597,7251980
RUNX2,ENSG00000124813,6,45328157,45664349
SH3TC1,ENSG00000125089,4,8182072,8241803
ABCC4,ENSG00000125257,13,95019835,95301475
IRF1,ENSG00000125347,5,132440440,132508719
SLC25A19,ENSG00000125454,17,75272981,75289510
IL1B,ENSG00000125538,2,112829751,112836816
PSD4,ENSG00000125637,2,113157325,113209396
C3,ENSG00000125730,19,6677704,6730562
TNFSF14,ENSG00000125735,19,6661253,6670588
CD93,ENSG00000125810,20,23079360,23086324
FAM110A,ENSG00000125898,20,833715,857463
SIRPD,ENSG00000125900,20,1534251,1557705
IGFLR1,ENSG00000126246,19,35738801,35742453
FFAR2,ENSG00000126262,19,35443907,35451767
HCST,ENSG00000126264,19,35902529,35904377
BCL2L12,ENSG00000126453,19,49665142,49673916
STAT5A,ENSG00000126561,17,42287547,42311943
FAM78A,ENSG00000126882,9,131258076,131277365
FGD3,ENSG00000127084,9,92947523,93036236
ADGRE2,ENSG00000127507,19,14732392,14778560
FGL2,ENSG00000127951,7,77193369,77199848
ZFP36,ENSG00000128016,19,39406847,39409412
RAC2,ENSG00000128340,22,37225270,37259594
APOBEC3F,ENSG00000128394,22,39040604,39055972
IRF5,ENSG00000128604,7,128937457,128950038
ARHGAP22,ENSG00000128805,10,48446036,48656265
USP6,ENSG00000129204,17,5116032,5175034
CD68,ENSG00000129226,17,7579491,7582111
SIGLEC9,ENSG00000129450,19,51124906,51136651
RIPK3,ENSG00000129465,14,24336025,24340022
MIS18BP1,ENSG00000129534,14,45203190,45253540
TEP1,ENSG00000129566,14,20365667,20413501
RHBDF2,ENSG00000129667,17,76470891,76501790
AANAT,ENSG00000129673,17,76453351,76470117
CRACR2A,ENSG00000130038,12,3606633,3764819
ATP8B3,ENSG00000130270,19,1782075,1812276
PLVAP,ENSG00000130300,19,17351450,17377342
BST2,ENSG00000130303,19,17402939,17405630
COLGALT1,ENSG00000130309,19,17555649,17583162
ARPC1B,ENSG00000130429,7,99374249,99394816
KLHDC7B,ENSG00000130487,22,50545899,50551023
SAG,ENSG00000130561,2,233307816,233347055
LSP1,ENSG00000130592,11,1850904,1892267
TNNI2,ENSG00000130598,11,1838981,1841680
GMFG,ENSG00000130755,19,39328353,39342372
THEMIS2,ENSG00000130775,1,27872543,27886685
ANGPTL6,ENSG00000130812,19,10092338,10102678
LILRB2,ENSG00000131042,19,54273812,54281184
NFATC1,ENSG00000131196,18,79395856,79529325
ADGRE3,ENSG00000131355,19,14619117,14690027
NAPSB,ENSG00000131401,19,50333877,50344761
NINJ1,ENSG00000131669,9,93121496,93134251
TRIM21,ENSG00000132109,11,4384897,4393702
TRIM5,ENSG00000132256,11,5663195,5938619
TRIM22,ENSG00000132274,11,5689610,5737089
CARD6,ENSG00000132357,5,40841308,40860175
XAF1,ENSG00000132530,17,6755447,6775647
ACY3,ENSG00000132744,11,67642555,67650730
ALOX5AP,ENSG00000132965,13,30713478,30764426
MYBPH,ENSG00000133055,1,203167811,203175826
CHIT1,ENSG00000133063,1,203212827,203273641
EPSTI1,ENSG00000133106,13,42886388,42992271
PRAM1,ENSG00000133246,19,8490056,8502640
GIMAP6,ENSG00000133561,7,150625375,150632648
GIMAP4,ENSG00000133574,7,150567369,150573953
LYVE1,ENSG00000133800,11,10556966,10611689
RNF122,ENSG00000133874,8,33547754,33567128
CD180,ENSG00000134061,5,67179613,67196799
SYT6,ENSG00000134207,1,114089291,114153880
IL15RA,ENSG00000134470,10,5943639,5978187
DOCK2,ENSG00000134516,5,169637268,170083382
MYBPC3,ENSG00000134571,11,47331406,47352702
DDB2,ENSG00000134574,11,47214465,47239217
DSC2,ENSG00000134755,18,31058840,31102522
SLC43A3,ENSG00000134802,11,57406954,57427580
C5AR2,ENSG00000134830,19,47332175,47347329
SLC37A2,ENSG00000134955,11,125063302,125090516
HAVCR2,ENSG00000135077,5,157085422,157142869
OASL,ENSG00000135114,12,121017763,121039246
P2RX4,ENSG00000135124,12,121210065,121234106
PRRG4,ENSG00000135378,11,32829927,32858120
MICAL1,ENSG00000135596,6,109444062,109465968
STX11,ENSG00000135604,6,144150487,144191939
FHOD1,ENSG00000135723,16,67229387,67247481
NPL,ENSG00000135838,1,182789293,182830384
NIBAN1,ENSG00000135842,1,184790724,184974508
SP110,ENSG00000135899,2,230165186,230225729
LCP1,ENSG00000136167,13,46125920,46211871
IL6,ENSG00000136244,7,22725884,22732002
AOAH,ENSG00000136250,7,36512941,36724549
MYO1G,ENSG00000136286,7,44962662,44979088
CIDEB,ENSG00000136305,14,24305187,24311430
HLX,ENSG00000136630,1,220879431,220885059
IL10,ENSG00000136634,1,206767602,206774541
IL1RN,ENSG00000136689,2,113099315,113134016
GYPC,ENSG00000136732,2,126656133,126696667
MYC,ENSG00000136997,8,127735434,127742951
CNPY3,ENSG00000137161,6,42929480,42939294
PIM1,ENSG00000137193,6,37170152,37175428
IER3,ENSG00000137331,6,30743199,30744548
TLR2,ENSG00000137462,4,153684070,153706260
MYO7A,ENSG00000137474,11,77128246,77215241
SLCO2B1,ENSG00000137491,11,75100563,75206549
IL18BP,ENSG00000137496,11,71998613,72007315
CASP1,ENSG00000137752,11,105025397,105035250
CASP5,ENSG00000137757,11,104994235,105023168
SQOR,ENSG00000137767,15,45631148,45691281
SMAD6,ENSG00000137834,15,66702236,66782849
PLCB2,ENSG00000137841,15,40278176,40307935
DUOX1,ENSG00000137857,15,45129933,45165576
CYP19A1,ENSG00000137869,15,51208057,51338601
IFI44,ENSG00000137965,1,78649796,78664078
MYOF,ENSG00000138119,10,93306429,93482334
CH25H,ENSG00000138135,10,89205629,89207317
CEP55,ENSG00000138180,10,93496612,93529092
ENTPD1,ENSG00000138185,10,95711779,95877266
PARP9,ENSG00000138496,3,122527924,122564577
ARHGAP24,ENSG00000138639,4,85475150,86002668
MMRN1,ENSG00000138722,4,89879532,89954629
BMP2K,ENSG00000138756,4,78776342,78916365
PARVG,ENSG00000138964,22,44172956,44219533
ERP27,ENSG00000139055,12,14914039,14938537
SINHCAF,ENSG00000139146,12,31280584,31327058
GPR84,ENSG00000139572,12,54362445,54364487
BRCA2,ENSG00000139618,13,32315086,32400268
ITGB7,ENSG00000139626,12,53191323,53207282
LPAR6,ENSG00000139679,13,48389567,48444704
RAB20,ENSG00000139832,13,110523066,110561722
GPR65,ENSG00000140030,14,88005135,88014811
DUOX2,ENSG00000140279,15,45092650,45114172
TLE3,ENSG00000140332,15,70047790,70098176
PSTPIP1,ENSG00000140368,15,76993359,77037475
BCL2A1,ENSG00000140379,15,79960892,79971196
SCAMP2,ENSG00000140497,15,74843730,74873365
ZNF710,ENSG00000140548,15,90001324,90082206
ITGAX,ENSG00000140678,16,31355134,31382999
IGSF6,ENSG00000140749,16,21639550,21652608
ZFHX3,ENSG00000140836,16,72782885,73891871
NLRC5,ENSG00000140853,16,56989485,57083531
CMTM3,ENSG00000140931,16,66603874,66613892
IRF8,ENSG00000140968,16,85899116,85922606
ARRB2,ENSG00000141480,17,4710596,4721499
ZMYND15,ENSG00000141497,17,4739833,4746119
PIK3R5,ENSG00000141506,17,8878911,8965712
TMC6,ENSG00000141524,17,78107397,78132407
SLC16A3,ENSG00000141526,17,82217934,82261129
SECTM1,ENSG00000141574,17,82321024,82334074
PMAIP1,ENSG00000141682,18,59899996,59904305
ARL5C,ENSG00000141748,17,39156894,39167484
VAV1,ENSG00000141968,19,6772708,6857366
PGGHG,ENSG00000142102,11,289126,296107
MYO1F,ENSG00000142347,19,8520778,8577442
SIGLEC10,ENSG00000142512,19,51410020,51417803
RCN3,ENSG00000142552,19,49528003,49546962
SLC2A5,ENSG00000142583,1,9035106,9088478
PADI1,ENSG00000142623,1,17205128,17246007
ARHGEF19,ENSG00000142632,1,16197854,16212652
MOB3C,ENSG00000142961,1,46607719,46616811
C1orf162,ENSG00000143110,1,111473792,111478512
CD53,ENSG00000143119,1,110871188,110899922
TBX19,ENSG00000143178,1,168280877,168314426
FCGR2A,ENSG00000143226,1,161505430,161524013
RGS16,ENSG00000143333,1,182598623,182604389
ADAMTSL4,ENSG00000143382,1,150549369,150560937
ANXA9,ENSG00000143412,1,150982249,150995634
S100A8,ENSG00000143546,1,153390032,153391073
PTPN7,ENSG00000143851,1,202147013,202161588
ACKR2,ENSG00000144648,3,42804752,42887974
NFKBIZ,ENSG00000144802,3,101827991,101861022
ADPRH,ENSG00000144843,3,119579268,119589945
ILDR1,ENSG00000145103,3,121987323,122022247
PLAC8,ENSG00000145287,4,83090048,83137075
OTULINL,ENSG00000145569,5,14581792,14616180
LHFPL2,ENSG00000145685,5,78485215,78770021
IQGAP2,ENSG00000145703,5,76403285,76708132
TNFAIP8,ENSG00000145779,5,119268692,119399688
TIMD4,ENSG00000145850,5,156919292,156963226
KCNMB1,ENSG00000145936,5,170374671,170389634
RASGEF1C,ENSG00000146090,5,180100795,180209211
DOK3,ENSG00000146094,5,177501904,177511274
PPP1R18,ENSG00000146112,6,30676389,30687895
FGD2,ENSG00000146192,6,37005646,37029069
TRIM50,ENSG00000146755,7,73312536,73328082
SLC12A9,ENSG00000146828,7,100826820,100867010
DOK2,ENSG00000147443,8,21908873,21913690
CDKN2A,ENSG00000147889,9,21967752,21995301
GBGT1,ENSG00000148288,9,133152948,133163933
LCN2,ENSG00000148346,9,128149071,128153453
TMEM236,ENSG00000148483,10,17752201,17800868
LRMDA,ENSG00000148655,10,75431624,76560168
FUOM,ENSG00000148803,10,133355158,133358025
ITPRIP,ENSG00000148841,10,104309698,104338465
RGS10,ENSG00000148908,10,119499817,119542719
ST14,ENSG00000149418,11,130159782,130210362
FERMT3,ENSG00000149781,11,64205926,64223896
FCGR1A,ENSG00000150337,1,149782671,149791675
CD226,ENSG00000150637,18,69831158,69961803
RGS18,ENSG00000150681,1,192158462,192185815
IL18,ENSG00000150782,11,112143253,112164096
CACNA2D4,ENSG00000151062,12,1791963,1918666
TMEM86A,ENSG00000151117,11,18693122,18704785
VENTX,ENSG00000151650,10,133237855,133241928
FLI1,ENSG00000151702,11,128686535,128813267
ARL11,ENSG00000152213,13,49628507,49633872
PSTPIP2,ENSG00000152229,18,45983536,46072272
KCNK13,ENSG00000152315,14,90061994,90185853
ZFP36L2,ENSG00000152518,2,43222402,43226606
IGSF10,ENSG00000152580,3,151425384,151461061
ANKRD22,ENSG00000152766,10,88819896,88851844
HHEX,ENSG00000152804,10,92689955,92695647
STK32B,ENSG00000152953,4,5051480,5500994
DAB2,ENSG00000153071,5,39371675,39462300
MERTK,ENSG00000153208,2,111898607,112029561
CMTM7,ENSG00000153551,3,32391698,32483067
GRAP,ENSG00000154016,17,19020656,19047011
LRRK1,ENSG00000154237,15,100919327,101078257
PGM5,ENSG00000154330,9,68328308,68531061
GBP5,ENSG00000154451,1,89256189,89272860
LY96,ENSG00000154589,8,73991392,74029079
SLFN13,ENSG00000154760,17,35435096,35448837
SAMSN1,ENSG00000155307,21,14485228,14658821
SLC7A7,ENSG00000155465,14,22773222,22829820
PIK3AP1,ENSG00000155629,10,96593315,96720514
SLA,ENSG00000155926,8,133036728,133102912
BATF,ENSG00000156127,14,75522455,75546993
FRRS1,ENSG00000156869,1,99703970,99766635
GHRL,ENSG00000157017,3,10285666,10292947
MMP14,ENSG00000157227,14,22836560,22849041
SUSD3,ENSG00000157303,9,93058688,93085133
GRHL3,ENSG00000158055,1,24199558,24364482
H2BC5,ENSG00000158373,6,26158122,26171349
CATIP,ENSG00000158428,2,218356857,218368099
CD1D,ENSG00000158473,1,158178030,158186427
NCF1,ENSG00000158517,7,74774011,74789315
SLAMF8,ENSG00000158714,1,159826811,159837492
RNF166,ENSG00000158717,16,88696499,88706408
FCER1G,ENSG00000158869,1,161215234,161220699
C1QC,ENSG00000159189,1,22643014,22648110
RUNX1,ENSG00000159216,21,34787801,36004667
