hgnc_id,hgnc_symbol,hgnc_synonyms,hgnc_name,ensembl_id,entrez_id
HGNC:7137,AFDN,"AF-6, AF6, MLLT4","afadin, adherens junction formation factor",ENSG00000130396,4301
HGNC:16922,AGAP1,"KIAA1099, GGAP1, CENTG2","ArfGAP with GTPase domain, ankyrin repeat and PH domain 1",ENSG00000157985,116987
HGNC:16921,AGAP2,CENTG1,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 2",ENSG00000135439,116986
HGNC:16923,AGAP3,CENTG3,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 3",ENSG00000133612,116988
HGNC:3263,AGO2,"HAGO2, Q10, LINC00980, EIF2C2, CASC7",argonaute RISC catalytic component 2,ENSG00000123908,27161
HGNC:329,AGRN,AGRIN,agrin,ENSG00000188157,375790
HGNC:367,AKAP1,"AKAP121, AKAP149, SAKAP84, S-AKAP84, AKAP84, D-AKAP1, PPP1R43, TDRD17, PRKA1",A-kinase anchoring protein 1,ENSG00000121057,8165
HGNC:370,AKAP12,"AKAP250, SSECKS",A-kinase anchoring protein 12,ENSG00000131016,9590
HGNC:375,AKAP5,"AKAP75, AKAP79",A-kinase anchoring protein 5,ENSG00000179841,9495
HGNC:377,AKAP7,"AKAP18, AKAP15",A-kinase anchoring protein 7,ENSG00000118507,9465
HGNC:379,AKAP9,"KIAA0803, AKAP350, AKAP450, CG-NAP, YOTIAO, HYPERION, PRKA9, MU-RMS-40.16A, PPP1R45, LQT11",A-kinase anchoring protein 9,ENSG00000127914,10142
HGNC:380,AKR1A1,NA,aldo-keto reductase family 1 member A1,ENSG00000117448,10327
HGNC:391,AKT1,"RAC, PKB, PRKBA, AKT, RAC-ALPHA",AKT serine/threonine kinase 1,ENSG00000142208,207
HGNC:418,ALDOC,NA,"aldolase, fructose-bisphosphate C",ENSG00000109107,230
HGNC:427,ALK,CD246,ALK receptor tyrosine kinase,ENSG00000171094,238
HGNC:443,ALS2,ALS2CR6,alsin Rho guanine nucleotide exchange factor ALS2,ENSG00000003393,57679
HGNC:17810,AMOT,KIAA1071,angiomotin,ENSG00000126016,154796
HGNC:471,AMPH,NA,amphiphysin,ENSG00000078053,273
HGNC:494,ANK3,NA,ankyrin 3,ENSG00000151150,288
HGNC:24600,ANKS1B,"EB-1, AIDA-1, CAJALIN-2, ANKS2",ankyrin repeat and sterile alpha motif domain containing 1B,ENSG00000185046,56899
HGNC:21625,ANO1,"TAOS2, FLJ10261, DOG1, ORAOV2, TMEM16A",anoctamin 1,ENSG00000131620,55107
HGNC:1183,ANO2,"C12ORF3, TMEM16B",anoctamin 2,ENSG00000047617,57101
HGNC:25240,ANO6,"DKFZP313M0720, TMEM16F",anoctamin 6,ENSG00000177119,196527
HGNC:16673,ANP32E,"LANPL, MGC5350, LANP-L",acidic nuclear phosphoprotein 32 family member E,ENSG00000143401,81611
HGNC:533,ANXA1,"ANX1, LPC1",annexin A1,ENSG00000135046,301
HGNC:543,ANXA5,"CPB-I, PAP-I, VAC-ALPH, RPRGL3, ENX2, ANX5",annexin A5,ENSG00000164111,308
HGNC:554,AP1B1,"BAM22, AP105A, ADTB1, CLAPB2",adaptor related protein complex 1 subunit beta 1,ENSG00000100280,162
HGNC:555,AP1G1,"CLAPG1, ADTG",adaptor related protein complex 1 subunit gamma 1,ENSG00000166747,164
HGNC:556,AP1G2,G2AD,adaptor related protein complex 1 subunit gamma 2,ENSG00000213983,8906
HGNC:13667,AP1M1,"AP47, CLAPM2, MU1A",adaptor related protein complex 1 subunit mu 1,ENSG00000072958,8907
HGNC:559,AP1S1,"AP19, SIGMA1A, WUGSC:H_DJ0747G18.2, CLAPS1, EKV3",adaptor related protein complex 1 subunit sigma 1,ENSG00000106367,1174
HGNC:560,AP1S2,"SIGMA1B, MRX59, MRXS5, PGS",adaptor related protein complex 1 subunit sigma 2,ENSG00000182287,8905
HGNC:561,AP2A1,"CLAPA1, ADTAA",adaptor related protein complex 2 subunit alpha 1,ENSG00000196961,160
HGNC:562,AP2A2,"DKFZP564D1864, HYPJ, KIAA0899, HIP9, CLAPA2, ADTAB",adaptor related protein complex 2 subunit alpha 2,ENSG00000183020,161
HGNC:563,AP2B1,"ADTB2, CLAPB1",adaptor related protein complex 2 subunit beta 1,ENSG00000006125,163
HGNC:564,AP2M1,"AP50, CLAPM1",adaptor related protein complex 2 subunit mu 1,ENSG00000161203,1173
HGNC:565,AP2S1,"FBHOK, FBH3, CLAPS2, HHC3",adaptor related protein complex 2 subunit sigma 1,ENSG00000042753,1175
HGNC:567,AP3B2,NAPTB,adaptor related protein complex 3 subunit beta 2,ENSG00000103723,8120
HGNC:568,AP3D1,ADTD,adaptor related protein complex 3 subunit delta 1,ENSG00000065000,8943
HGNC:569,AP3M1,NA,adaptor related protein complex 3 subunit mu 1,ENSG00000185009,26985
HGNC:570,AP3M2,NA,adaptor related protein complex 3 subunit mu 2,ENSG00000070718,10947
HGNC:2013,AP3S1,CLAPS3,adaptor related protein complex 3 subunit sigma 1,ENSG00000177879,1176
HGNC:571,AP3S2,SIGMA3B,adaptor related protein complex 3 subunit sigma 2,ENSG00000157823,10239
HGNC:578,APBA1,"D9S411E, X11, MINT1",amyloid beta precursor protein binding family A member 1,ENSG00000107282,320
HGNC:579,APBA2,"D15S1518E, MGC:14091, HST16821, X11L, MINT2",amyloid beta precursor protein binding family A member 2,ENSG00000034053,321
HGNC:581,APBB1,"FE65, RIR",amyloid beta precursor protein binding family B member 1,ENSG00000166313,322
HGNC:583,APC,"DP2.5, PPP1R46",APC regulator of WNT signaling pathway,ENSG00000134982,324
HGNC:24036,APC2,APCL,APC regulator of WNT signaling pathway 2,ENSG00000115266,10297
HGNC:29509,APH1A,"APH-1A, CGI-78","aph-1 homolog A, gamma-secretase subunit",ENSG00000117362,51107
HGNC:598,APLP2,APPH,amyloid beta precursor like protein 2,ENSG00000084234,334
HGNC:602,APOA4,NA,apolipoprotein A4,ENSG00000110244,337
HGNC:613,APOE,AD2,apolipoprotein E,ENSG00000130203,348
HGNC:620,APP,ALPHA-SAPP,amyloid beta precursor protein,ENSG00000142192,351
HGNC:24035,APPL1,NA,"adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1",ENSG00000157500,26060
HGNC:648,ARC,"KIAA0278, ARG3.1",activity regulated cytoskeleton associated protein,ENSG00000198576,23237
HGNC:652,ARF1,NA,ADP ribosylation factor 1,ENSG00000143761,375
HGNC:655,ARF4,ARF2,ADP ribosylation factor 4,ENSG00000168374,378
HGNC:659,ARF6,NA,ADP ribosylation factor 6,ENSG00000165527,382
HGNC:15852,ARFGAP1,"FLJ10767, BA261N11.3, ARF1GAP",ADP ribosylation factor GTPase activating protein 1,ENSG00000101199,55738
HGNC:661,ARFGAP3,NA,ADP ribosylation factor GTPase activating protein 3,ENSG00000242247,26286
HGNC:15853,ARFGEF2,BIG2,ADP ribosylation factor guanine nucleotide exchange factor 2,ENSG00000124198,10564
HGNC:16348,ARHGAP12,"FLJ20737, FLJ10971, FLJ21785",Rho GTPase activating protein 12,ENSG00000165322,94134
HGNC:30320,ARHGAP22,NA,Rho GTPase activating protein 22,ENSG00000128805,58504
HGNC:17399,ARHGAP32,"GRIT, KIAA0712, MGC1892, RICS, GC-GAP",Rho GTPase activating protein 32,ENSG00000134909,9743
HGNC:23085,ARHGAP33,"FLJ39019, TCGAP, SNX26",Rho GTPase activating protein 33,ENSG00000004777,115703
HGNC:29351,ARHGAP39,"KIAA1688, VILSE, CRGAP",Rho GTPase activating protein 39,ENSG00000147799,80728
HGNC:29096,ARHGAP44,"KIAA0672, RICH-2, RICH2",Rho GTPase activating protein 44,ENSG00000006740,9912
HGNC:678,ARHGDIA,"RHOGDI, GDIA1",Rho GDP dissociation inhibitor alpha,ENSG00000141522,396
HGNC:15590,ARHGEF15,"KIAA0915, VSM-RHOGEF, ARGEF15, FLJ13791, MGC44868",Rho guanine nucleotide exchange factor 15,ENSG00000198844,22899
HGNC:682,ARHGEF2,"LFP40, GEF-H1, KIAA0651, LFC, GEFH1",Rho/Rac guanine nucleotide exchange factor 2,ENSG00000116584,9181
HGNC:15607,ARHGEF7,"KIAA0142, PIXB, DKFZP761K1021, NBLA10314, DKFZP686C12170, BETA-PIX, COOL1, P85SPR, P85COOL1, P50BP",Rho guanine nucleotide exchange factor 7,ENSG00000102606,8874
HGNC:14561,ARHGEF9,"KIAA0424, PEM-2",Cdc42 guanine nucleotide exchange factor 9,ENSG00000131089,23229
HGNC:16937,ARL6IP5,"PRAF3, JWA, GTRAP3-18, DERP11, HSPC127, YIP6B",ADP ribosylation factor like GTPase 6 interacting protein 5,ENSG00000144746,10550
HGNC:25192,ARL8A,"FLJ45195, GIE2, ARL10B",ADP ribosylation factor like GTPase 8A,ENSG00000143862,127829
HGNC:25564,ARL8B,"FLJ10702, GIE1, ARL10C",ADP ribosylation factor like GTPase 8B,ENSG00000134108,55207
HGNC:703,ARPC1A,"SOP2HS, SOP2L, ARC40",actin related protein 2/3 complex subunit 1A,ENSG00000241685,10552
HGNC:705,ARPC2,"P34-ARC, ARC34",actin related protein 2/3 complex subunit 2,ENSG00000163466,10109
HGNC:706,ARPC3,"P21-ARC, ARC21",actin related protein 2/3 complex subunit 3,ENSG00000111229,10094
HGNC:708,ARPC5,"P16-ARC, ARC16, DJ127C7.3",actin related protein 2/3 complex subunit 5,ENSG00000162704,10092
HGNC:23366,ARPC5L,"MGC3038, ARC16-2",actin related protein 2/3 complex subunit 5 like,ENSG00000136950,81873
HGNC:711,ARRB1,ARR1,arrestin beta 1,ENSG00000137486,408
HGNC:712,ARRB2,"BARR2, DKFZP686L0365, ARR2",arrestin beta 2,ENSG00000141480,409
HGNC:2720,ASAP1,"KIAA1249, ZG14P, CENTB4, DDEF1","ArfGAP with SH3 domain, ankyrin repeat and PH domain 1",ENSG00000153317,50807
HGNC:100,ASIC1,"BNAC2, HBNAC2, ACCN2",acid sensing ion channel subunit 1,ENSG00000110881,41
HGNC:99,ASIC2,"ASIC2A, BNAC1, HBNAC1, MDEG, ACCN, ACCN1",acid sensing ion channel subunit 2,ENSG00000108684,40
HGNC:25903,ATAD1,"FLJ14600, MSP1",ATPase family AAA domain containing 1,ENSG00000138138,84896
HGNC:21498,ATG16L1,"WDR30, FLJ10035, ATG16A, APG16L, ATG16L",autophagy related 16 like 1,ENSG00000085978,55054
HGNC:589,ATG5,"APG5, HAPG5, APG5L",autophagy related 5,ENSG00000057663,9474
HGNC:16935,ATG7,"GSA7, DKFZP434N0735, APG7L",autophagy related 7,ENSG00000197548,10533
HGNC:22408,ATG9A,"FLJ22169, APG9L1",autophagy related 9A,ENSG00000198925,79065
HGNC:795,ATM,"TEL1, TELO1, ATA, ATC",ATM serine/threonine kinase,ENSG00000149311,472
HGNC:801,ATP1A3,DYT12,ATPase Na+/K+ transporting subunit alpha 3,ENSG00000105409,478
HGNC:814,ATP2B1,PMCA1,ATPase plasma membrane Ca2+ transporting 1,ENSG00000070961,490
HGNC:815,ATP2B2,PMCA2,ATPase plasma membrane Ca2+ transporting 2,ENSG00000157087,491
HGNC:816,ATP2B3,"PMCA3, CFAP39, SCAX1, CLA2",ATPase plasma membrane Ca2+ transporting 3,ENSG00000067842,492
HGNC:817,ATP2B4,"PMCA4, MXRA1",ATPase plasma membrane Ca2+ transporting 4,ENSG00000058668,493
HGNC:868,ATP6AP1,"ORF, XAP-3, VATPS1, 16A, AC45, XAP3, CF2, ATP6S1, ATP6IP1",ATPase H+ transporting accessory protein 1,ENSG00000071553,537
HGNC:18305,ATP6AP2,"M8-9, APT6M8-9, ATP6M8-9, RENR, ATP6IP2",ATPase H+ transporting accessory protein 2,ENSG00000182220,10159
HGNC:865,ATP6V0A1,"VPP1, ATP6N1, ATP6N1A",ATPase H+ transporting V0 subunit a1,ENSG00000033627,535
HGNC:866,ATP6V0A4,"RDRTA2, RTADR, ATP6N1B, ATP6N2, RTA1C",ATPase H+ transporting V0 subunit a4,ENSG00000105929,50617
HGNC:855,ATP6V0C,"VATL, VMA3, ATPL, ATP6L",ATPase H+ transporting V0 subunit c,ENSG00000185883,527
HGNC:13724,ATP6V0D1,"ATP6DV, VATX, VPATPD",ATPase H+ transporting V0 subunit d1,ENSG00000159720,9114
HGNC:21723,ATP6V0E2,"C7ORF32, ATP6V0E2L",ATPase H+ transporting V0 subunit e2,ENSG00000171130,155066
HGNC:851,ATP6V1A,"VMA1, VA68, ATP6A1, ATP6V1A1",ATPase H+ transporting V1 subunit A,ENSG00000114573,523
HGNC:853,ATP6V1B1,"RTA1B, ATP6B1",ATPase H+ transporting V1 subunit B1,ENSG00000116039,525
HGNC:854,ATP6V1B2,"HO57, ATP6B2",ATPase H+ transporting V1 subunit B2,ENSG00000147416,526
HGNC:856,ATP6V1C1,VATC,ATPase H+ transporting V1 subunit C1,ENSG00000155097,528
HGNC:13527,ATP6V1D,"VATD, VMA8, ATP6M",ATPase H+ transporting V1 subunit D,ENSG00000100554,51382
HGNC:857,ATP6V1E1,"ATP6E2, ATP6E, ATP6V1E",ATPase H+ transporting V1 subunit E1,ENSG00000131100,529
HGNC:16832,ATP6V1F,"ATP6S14, VATF, VMA7",ATPase H+ transporting V1 subunit F,ENSG00000128524,9296
HGNC:864,ATP6V1G1,"ATP6GL, ATP6J, ATP6G1",ATPase H+ transporting V1 subunit G1,ENSG00000136888,9550
HGNC:862,ATP6V1G2,"NG38, EM:AC004181.3, ATP6G2",ATPase H+ transporting V1 subunit G2,ENSG00000213760,534
HGNC:18303,ATP6V1H,"CGI-11, VMA13, SFDALPHA, SFDBETA",ATPase H+ transporting V1 subunit H,ENSG00000047249,51606
HGNC:13531,ATP8A1,ATPIA,ATPase phospholipid transporting 8A1,ENSG00000124406,10396
HGNC:882,ATR,"FRP1, SCKL, SCKL1, MEC1",ATR serine/threonine kinase,ENSG00000175054,545
HGNC:11393,AURKA,"BTAK, AURA, ARK1, PPP1R47, AIK, STK15, STK6",aurora kinase A,ENSG00000087586,6790
HGNC:894,AVP,"ADH, ARVP",arginine vasopressin,ENSG00000101200,551
HGNC:903,AXIN1,PPP1R49,axin 1,ENSG00000103126,8312
HGNC:933,BACE1,BACE,beta-secretase 1,ENSG00000186318,23621
HGNC:947,BAIAP2,"BAP2, IRSP53, WAML",BAR/IMD domain containing adaptor protein 2,ENSG00000175866,10458
HGNC:948,BAIAP3,"BAP3, KIAA0734",BAI1 associated protein 3,ENSG00000007516,8938
HGNC:23059,BCAN,"BEHAB, MGC13038, CSPG7",brevican,ENSG00000132692,63827
HGNC:974,BCAS1,"AIBC1, PMES-2",brain enriched myelin associated protein 1,ENSG00000064787,8537
HGNC:13221,BCL11A,"BCL11A-XL, BCL11A-L, BCL11A-S, CTIP1, HBFQTL5, ZNF856, SMARCM1, EVI9",BCL11 transcription factor A,ENSG00000119866,53335
HGNC:992,BCL2L1,"BCLX, BCL2L, BCL-X, BCL-XL, BCL-XS, PPP1R52",BCL2 like 1,ENSG00000171552,598
HGNC:1014,BCR,"D22S662, CML, PHL, ALL, D22S11, BCR1",BCR activator of RhoGEF and GTPase,ENSG00000186716,613
HGNC:1033,BDNF,NA,brain derived neurotrophic factor,ENSG00000176697,627
HGNC:24163,BEGAIN,KIAA1446,brain enriched guanylate kinase associated,ENSG00000183092,57596
HGNC:1052,BIN1,"SH3P9, AMPH2, AMPHL",bridging integrator 1,ENSG00000136717,274
HGNC:4200,BLOC1S1,"BLOS1, BORCS1, GCN5L1",biogenesis of lysosomal organelles complex 1 subunit 1,ENSG00000135441,2647
HGNC:8549,BLOC1S6,"HPS9, PLDN",biogenesis of lysosomal organelles complex 1 subunit 6,ENSG00000104164,26258
HGNC:26953,BLTP1,"FLJ21404, FSA, KIAA1371, TWEEK, KIAA1109",bridge-like lipid transfer protein family member 1,ENSG00000138688,84162
HGNC:1097,BRAF,"BRAF1, BRAF-1","B-Raf proto-oncogene, serine/threonine kinase",ENSG00000157764,673
HGNC:2687,BRINP1,"FAM5A, DBCCR1",BMP/retinoic acid inducible neural specific 1,ENSG00000078725,1620
HGNC:18994,BRSK1,"KIAA1811, SAD-B",BR serine/threonine kinase 1,ENSG00000160469,84446
HGNC:1117,BSN,ZNF231,bassoon presynaptic cytomatrix protein,ENSG00000164061,8927
HGNC:21019,BTBD8,"APACHE, KIAA1107",BTB domain containing 8,ENSG00000189195,284697
HGNC:21228,BTBD9,"KIAA1880, DJ322I12.1",BTB domain containing 9,ENSG00000183826,114781
HGNC:1241,C1QA,NA,complement C1q A chain,ENSG00000173372,712
HGNC:1242,C1QB,NA,complement C1q B chain,ENSG00000173369,713
HGNC:1243,C1QBP,"GC1Q-R, GC1QR, SF2P32, HABP1",complement C1q binding protein,ENSG00000108561,708
HGNC:1245,C1QC,C1QG,complement C1q C chain,ENSG00000159189,714
HGNC:24182,C1QL1,"C1QRF, C1QTNF14, CTRP14",complement C1q like 1,ENSG00000131094,10882
HGNC:24181,C1QL2,"CTRP10, C1QTNF10",complement C1q like 2,ENSG00000144119,165257
HGNC:19359,C1QL3,"K100, C1QL, C1QTNF13, CTRP13",complement C1q like 3,ENSG00000165985,389941
HGNC:28337,C9ORF72,"MGC23980, DENNL72, DENND9",C9orf72-SMCR8 complex subunit,ENSG00000147894,203228
HGNC:1384,CABP1,NA,calcium binding protein 1,ENSG00000157782,9478
HGNC:1388,CACNA1A,"CAV2.1, EA2, APCA, FHM, CACNL1A4, SCA6, MHP1, MHP",calcium voltage-gated channel subunit alpha1 A,ENSG00000141837,773
HGNC:1389,CACNA1B,"CAV2.2, CACNN, CACNL1A5",calcium voltage-gated channel subunit alpha1 B,ENSG00000148408,774
HGNC:1390,CACNA1C,"CAV1.2, CACH2, CACN2, LQT8, CCHL1A1, CACNL1A1, CACNA1C-IT2",calcium voltage-gated channel subunit alpha1 C,ENSG00000151067,775
HGNC:1391,CACNA1D,"CAV1.3, CACH3, CACN4, CCHL1A2, CACNL1A2",calcium voltage-gated channel subunit alpha1 D,ENSG00000157388,776
HGNC:1392,CACNA1E,"CAV2.3, BII, CACH6, CACNL1A6",calcium voltage-gated channel subunit alpha1 E,ENSG00000198216,777
HGNC:1395,CACNA1H,CAV3.2,calcium voltage-gated channel subunit alpha1 H,ENSG00000196557,8912
HGNC:1399,CACNA2D1,"LNCRNA-N3, ALPHA2DELTA-1, CACNL2A, CACNA2, MHS3, LINC01112",calcium voltage-gated channel auxiliary subunit alpha2delta 1,ENSG00000153956,781
HGNC:1400,CACNA2D2,"KIAA0558, ALPHA2DELTA-2",calcium voltage-gated channel auxiliary subunit alpha2delta 2,ENSG00000007402,9254
HGNC:15460,CACNA2D3,"HSA272268, ALPHA2DELTA-3",calcium voltage-gated channel auxiliary subunit alpha2delta 3,ENSG00000157445,55799
HGNC:1401,CACNB1,CACNLB1,calcium voltage-gated channel auxiliary subunit beta 1,ENSG00000067191,782
HGNC:1402,CACNB2,"MYSB, CACNLB2",calcium voltage-gated channel auxiliary subunit beta 2,ENSG00000165995,783
HGNC:1404,CACNB4,EJM4,calcium voltage-gated channel auxiliary subunit beta 4,ENSG00000182389,785
HGNC:1406,CACNG2,"STARGAZIN, MGC138502, MGC138504",calcium voltage-gated channel auxiliary subunit gamma 2,ENSG00000166862,10369
HGNC:1407,CACNG3,NA,calcium voltage-gated channel auxiliary subunit gamma 3,ENSG00000006116,10368
HGNC:1408,CACNG4,"MGC11138, MGC24983",calcium voltage-gated channel auxiliary subunit gamma 4,ENSG00000075461,27092
HGNC:1409,CACNG5,NA,calcium voltage-gated channel auxiliary subunit gamma 5,ENSG00000075429,27091
HGNC:13626,CACNG7,NA,calcium voltage-gated channel auxiliary subunit gamma 7,ENSG00000105605,59284
HGNC:13628,CACNG8,NA,calcium voltage-gated channel auxiliary subunit gamma 8,ENSG00000142408,59283
HGNC:5951,CADM1,"NECL2, ST17, BL2, SYNCAM, IGSF4A, NECL-2, SYNCAM1, RA175, TSLC1, IGSF4",cell adhesion molecule 1,ENSG00000182985,23705
HGNC:29849,CADM2,"NECL3, NECL-3, SYNCAM2, SYNCAM-2, IGSF4D",cell adhesion molecule 2,ENSG00000175161,253559
HGNC:17601,CADM3,"BIGR, FLJ10698, TSLL1, NECL1, SYNCAM3, NECL-1, IGSF4B",cell adhesion molecule 3,ENSG00000162706,57863
HGNC:30825,CADM4,"TSLL2, NECL-4, SYNCAM4, IGSF4C",cell adhesion molecule 4,ENSG00000105767,199731
HGNC:1426,CADPS,"KIAA1121, UNC-31, CADPS1",calcium dependent secretion activator,ENSG00000163618,8618
HGNC:16018,CADPS2,NA,calcium dependent secretion activator 2,ENSG00000081803,93664
HGNC:1434,CALB1,CALB,calbindin 1,ENSG00000104327,793
HGNC:1435,CALB2,CAL2,calbindin 2,ENSG00000172137,794
HGNC:1437,CALCA,"CGRP-ALPHA, CALC1",calcitonin related polypeptide alpha,ENSG00000110680,796
HGNC:16709,CALCRL,"CGRPR, CRLR",calcitonin receptor like receptor,ENSG00000064989,10203
HGNC:1441,CALD1,"H-CAD, L-CAD, H-CD",caldesmon 1,ENSG00000122786,800
HGNC:1442,CALM1,"CAMI, DD132, PHKD1, CALML2",calmodulin 1,ENSG00000198668,801
HGNC:1445,CALM2,"PHKD2, CAMII",calmodulin 2,ENSG00000143933,805
HGNC:1449,CALM3,PHKD3,calmodulin 3,ENSG00000160014,808
HGNC:1455,CALR,"RO, SSA, CC1QR, FLJ26680, CALR1",calreticulin,ENSG00000179218,811
HGNC:17938,CALY,"CALCYON, NSG3, DRD1IP",calcyon neuron specific vesicular protein,ENSG00000130643,50632
HGNC:1459,CAMK1,"CAMKI, CAMKI-ALPHA",calcium/calmodulin dependent protein kinase I,ENSG00000134072,8536
HGNC:1460,CAMK2A,"KIAA0968, CAMKIIα, CAMKA",calcium/calmodulin dependent protein kinase II alpha,ENSG00000070808,815
HGNC:1461,CAMK2B,"CAM2, CAMK2, CAMKIIb, CAMKB",calcium/calmodulin dependent protein kinase II beta,ENSG00000058404,816
HGNC:1462,CAMK2D,CAMKD,calcium/calmodulin dependent protein kinase II delta,ENSG00000145349,817
HGNC:1463,CAMK2G,CAMKG,calcium/calmodulin dependent protein kinase II gamma,ENSG00000148660,818
HGNC:1464,CAMK4,"CAMK-GR, CAMKIV",calcium/calmodulin dependent protein kinase IV,ENSG00000152495,814
HGNC:28788,CAMKV,"MGC8407, VACAMKL",CaM kinase like vesicle associated,ENSG00000164076,79012
HGNC:1473,CANX,"CNX, IP90",calnexin,ENSG00000127022,821
HGNC:20040,CAP1,NA,cyclase associated actin cytoskeleton regulatory protein 1,ENSG00000131236,10487
HGNC:20039,CAP2,NA,cyclase associated actin cytoskeleton regulatory protein 2,ENSG00000112186,10486
